task,occupation,paper_count,paper_ids
"Program and use computers to store, process, and analyze data.",Biologists,264,"2302.04761,2303.11381,2303.17491,2303.17580,2304.00116,2304.04370,2304.05332,2304.08103,2304.09842,2305.13168,2305.13657,2306.07209,2306.07929,2306.10765,2308.01423,2308.10144,2308.11601,2309.11436,2309.12161,2310.02374,2310.04406,2310.05915,2310.08535,2310.10645,2310.14403,2310.16427,2310.19998,2311.03220,2311.06330,2311.06622,2311.08166,2311.08803,2311.09721,2311.10537,2312.04854,2312.07559,2312.13010,2312.13876,2401.05443,2401.05507,2401.07128,2401.16107,2401.17244,2401.17464,2402.01030,2402.01469,2402.02643,2402.04268,2402.09742,2402.10153,2402.10178,2402.11451,2402.11453,2402.13225,2402.13448,2402.14658,2402.14672,2402.14891,2402.15809,2402.17879,2403.03031,2403.04382,2403.09498,2403.15464,2403.16854,2403.19962,2404.01744,2404.02183,2404.04292,2404.04735,2404.07103,2404.07677,2404.07738,2404.09248,2404.14394,2404.14777,2404.15155,2404.17460,2404.18021,2405.00972,2405.06691,2405.08888,2405.10292,2405.11403,2405.11640,2405.14205,2405.15793,2405.16205,2405.16533,2405.19425,2406.04712,2406.10803,2406.10958,2406.11709,2406.13163,2406.13890,2406.14550,2406.16714,2406.17755,2406.17987,2406.19228,2407.00541,2407.01231,2407.02483,2407.09886,2407.10718,2407.12871,2407.15073,2407.16741,2407.17695,2407.20183,2407.21024,2407.21040,2408.00727,2408.01380,2408.01869,2408.03910,2408.05346,2408.06292,2408.09559,2408.12036,2408.13378,2408.14033,2408.15512,2409.00054,2409.00135,2409.00608,2409.03166,2409.05556,2409.12411,2409.13740,2409.13753,2409.16120,2409.18924,2410.01242,2410.02026,2410.02089,2410.02551,2410.02958,2410.06153,2410.07076,2410.07706,2410.08115,2410.08164,2410.09034,2410.09403,2410.10270,2410.11507,2410.12532,2410.12853,2410.13185,2410.13610,2410.14152,2410.14627,2410.15625,2410.16400,2410.17462,2410.17657,2410.18032,2410.18792,2410.19848,2410.20753,2410.21312,2410.22457,2410.22932,2411.00028,2411.00046,2411.00248,2411.00816,2411.01114,2411.01643,2411.01747,2411.02337,2411.04329,2411.07464,2411.08432,2411.10753,2411.11910,2411.18915,2412.02205,2412.04141,2412.05449,2412.06412,2412.09429,2412.10415,2412.11713,2412.12358,2412.12475,2412.14161,2412.16172,2412.17149,2412.18428,2412.21139,2412.21154,2501.00224,2501.00430,2501.00830,2501.04227,2501.04575,2501.12539,2501.14731,2502.00988,2502.02067,2502.02534,2502.03283,2502.04306,2502.04392,2502.04644,2502.05036,2502.06472,2502.09858,2502.11271,2502.11705,2502.11799,2502.12836,2502.13025,2502.13681,2502.13920,2502.13959,2502.14276,2502.14499,2502.14693,2502.14765,2502.14767,2502.14848,2502.17651,2502.18531,2502.18873,2502.19175,2502.19279,2502.20301,2502.20335,2503.00566,2503.02197,2503.03800,2503.05641,2503.06074,2503.07044,2503.09639,2503.11237,2503.11664,2503.13524,2503.14269,2503.17553,2503.17753,2503.18102,2503.22678,2503.22708,2503.23314,2504.01911,2504.02891,2504.06196,2504.06260,2504.07421,2504.07643,2504.08066,2504.10036,2504.10127,2504.10157,2504.12734,2504.13472,2504.14594,2504.16728,2504.17200"
Program computerized graphic effects.,Film and Video Editors,30,"2304.09842,2306.03460,2309.12276,2310.10586,2401.08392,2402.10294,2402.11453,2402.14891,2403.01248,2403.10517,2404.19721,2405.18358,2406.10478,2406.16620,2407.01093,2408.06520,2408.11788,2410.14026,2410.18975,2411.05423,2412.09596,2501.12909,2502.11140,2502.15412,2502.17651,2502.19400,2503.00162,2503.05242,2503.14408,2504.11571"
"Program farm equipment, such as variable-rate planting equipment or pesticide sprayers, based on input from crop scouting and analysis of field condition variability.",Precision Agriculture Technicians,4,"2304.05332,2304.09842,2305.02412,2305.16653"
Promote awareness or use of alternative or renewable energy sources.,"Energy Engineers, Except Wind and Solar",17,"2304.00116,2304.09842,2402.01698,2404.17525,2406.10958,2407.00476,2409.00135,2410.14152,2411.01114,2411.08432,2501.00224,2501.01205,2501.02031,2501.08406,2503.00566,2504.05527,2504.14110"
"Promote products in online communities through weblog or discussion-forum postings, e-mail marketing programs, or online advertising.",Online Merchants,59,"2305.08844,2308.06212,2308.08155,2309.08949,2309.16090,2310.10467,2310.17140,2310.17749,2310.18075,2311.00262,2311.05657,2312.04889,2312.06677,2312.12009,2401.01614,2401.02777,2401.03945,2402.11359,2402.16333,2403.05534,2403.11905,2403.14403,2404.03648,2404.05902,2404.10887,2405.04118,2405.13009,2405.15784,2406.00033,2407.00942,2407.04472,2407.05674,2407.06426,2407.09893,2407.12821,2407.15711,2408.15879,2409.00557,2409.12618,2410.13825,2410.14262,2410.21067,2410.22932,2412.10425,2412.11167,2412.14161,2501.11613,2501.16327,2502.05957,2502.07165,2502.13298,2502.14276,2502.16810,2503.10689,2503.14620,2503.24228,2504.02867,2504.02965,2504.07830"
Proofread and perform quality control of text and images.,Prepress Technicians and Workers,40,"2303.11381,2310.08101,2310.10467,2311.09510,2401.04259,2402.09727,2402.14207,2402.14871,2403.02574,2403.18802,2403.19305,2404.15488,2405.20770,2407.09897,2410.14262,2411.00816,2411.05423,2411.07656,2412.03801,2412.10415,2412.14161,2501.06189,2501.09993,2501.11233,2501.13946,2502.00322,2502.00989,2502.10937,2502.12568,2502.15412,2503.04629,2503.08275,2503.08506,2503.11346,2503.15272,2503.17684,2504.02867,2504.07385,2504.09737,2504.11571"
Proofread transcripts for correct spelling of words.,Court Reporters and Simultaneous Captioners,18,"2305.19308,2311.09510,2312.04889,2402.04636,2402.09727,2403.02574,2403.19305,2407.09897,2410.07561,2410.14262,2501.06189,2502.12568,2502.13001,2503.00162,2503.04629,2503.15272,2503.20666,2504.12322"
Propose logistics solutions for customers.,Logistics Engineers,30,"2303.17491,2304.14721,2402.00798,2402.11489,2403.13002,2404.13050,2405.16510,2405.18208,2405.20347,2406.10958,2407.11384,2408.12036,2409.08069,2410.00031,2410.14152,2410.16456,2411.01114,2411.01511,2411.13904,2411.14484,2412.05449,2412.15274,2501.00224,2501.08406,2502.01390,2502.15359,2503.04768,2504.05527,2504.08694,2504.16918"
Propose online or multiple-sales-channel campaigns to marketing executives.,Search Marketing Strategists,124,"2306.07209,2306.07906,2306.07929,2307.12856,2308.02151,2308.08155,2308.12519,2309.08949,2309.11436,2310.02170,2310.08740,2310.10645,2310.14403,2310.17140,2311.00416,2311.05657,2311.07076,2311.08803,2311.09721,2311.17371,2312.12009,2312.13876,2401.01614,2401.07324,2401.12178,2401.13919,2402.01750,2402.03610,2402.03719,2402.09205,2402.11550,2402.13547,2402.14320,2402.17505,2403.00820,2403.03101,2403.04746,2403.06221,2403.11905,2403.14589,2404.03648,2404.05902,2404.09127,2404.09339,2404.10887,2404.13050,2404.19705,2405.02858,2405.12035,2405.15784,2405.17402,2405.19425,2405.20252,2406.02818,2406.11176,2406.11555,2406.12639,2407.00942,2407.04472,2407.12821,2407.12871,2407.15711,2407.20183,2408.01380,2408.05346,2408.15232,2409.00557,2409.04181,2409.07429,2409.12411,2409.12618,2409.15515,2410.02810,2410.10270,2410.13825,2410.14594,2410.17236,2410.20753,2410.21784,2410.22932,2411.00927,2411.01643,2412.02205,2412.04141,2412.10425,2412.11167,2412.14161,2412.15701,2412.18428,2501.00332,2501.02348,2501.04575,2501.06189,2501.08406,2501.11613,2501.16607,2502.04485,2502.06205,2502.07165,2502.14848,2502.15690,2502.16810,2502.21087,2503.01940,2503.02197,2503.02519,2503.05592,2503.05641,2503.10689,2503.11664,2503.13514,2503.14484,2503.14620,2503.15272,2503.16814,2503.20978,2504.00406,2504.02670,2504.07421,2504.08525,2504.09723,2504.10127,2504.11536,2504.14597"
"Provide administrative support for projects by collecting data, providing project documentation, training staff, or performing other general administrative duties.",Environmental Engineers,50,"2302.04761,2304.00116,2305.17390,2306.07209,2307.07697,2308.10144,2308.12923,2310.02170,2310.10467,2311.00416,2312.04889,2312.13876,2401.17464,2402.01698,2402.02643,2402.10178,2402.14207,2402.14871,2403.04382,2403.15729,2403.19839,2404.09127,2406.02818,2406.10958,2406.18082,2407.11014,2407.21024,2409.13537,2410.10270,2410.17462,2410.18792,2411.00927,2411.01114,2411.01511,2412.02205,2412.14161,2501.00224,2501.02031,2501.04575,2502.04485,2502.07373,2502.18873,2503.07044,2503.22473,2504.02670,2504.05104,2504.07385,2504.07643,2504.12322,2504.17200"
"Provide advice and technical assistance with cost analysis, fiscal allocation, and budget preparation.",Budget Analysts,32,"2305.19308,2308.05361,2310.10645,2312.13876,2401.05799,2404.13050,2406.17987,2407.06567,2408.01380,2409.14913,2410.00031,2410.00354,2410.01039,2410.10270,2410.14152,2410.19727,2410.21741,2410.21784,2411.01114,2411.18915,2412.02205,2412.14161,2501.08406,2502.00415,2502.05439,2502.07373,2502.13127,2502.17967,2503.11664,2503.18102,2504.05104,2504.05862"
"Provide advice on project costs, design concepts, or design changes.",Computer Systems Engineers/Architects,594,"2302.00763,2302.04761,2302.11649,2303.17580,2304.00116,2304.04370,2304.05332,2304.07297,2304.08103,2304.08244,2304.09842,2304.14721,2305.02412,2305.05091,2305.15334,2305.16653,2305.17066,2305.17144,2305.17390,2305.18323,2306.01729,2306.03460,2306.07209,2306.07906,2306.07929,2306.10322,2307.02485,2307.06187,2307.07697,2307.07924,2307.12856,2308.01734,2308.02151,2308.06391,2308.08043,2308.08155,2308.10144,2308.11601,2308.12519,2308.12923,2309.00986,2309.01352,2309.11436,2309.12276,2309.16292,2309.17176,2309.17179,2309.17452,2310.00092,2310.00280,2310.00322,2310.01627,2310.01957,2310.02118,2310.02124,2310.02170,2310.03026,2310.03293,2310.03714,2310.03903,2310.04406,2310.05146,2310.05915,2310.06272,2310.08101,2310.08535,2310.08740,2310.08885,2310.09233,2310.10686,2310.10701,2310.13227,2310.14403,2310.15166,2310.16340,2310.16427,2310.17140,2310.19998,2310.20151,2311.00262,2311.00416,2311.05437,2311.05657,2311.05772,2311.06330,2311.06622,2311.07076,2311.07850,2311.08166,2311.08803,2311.09510,2311.09818,2311.10813,2311.11904,2311.12871,2311.17371,2311.18751,2312.01090,2312.03022,2312.04372,2312.04854,2312.06351,2312.06677,2312.07540,2312.10003,2312.13010,2312.13876,2312.17025,2312.17180,2401.01614,2401.02777,2401.05268,2401.05443,2401.05507,2401.06201,2401.06603,2401.07324,2401.09334,2401.13256,2401.13649,2401.13919,2401.14016,2401.14151,2401.15724,2401.16158,2401.16788,2401.17244,2401.17464,2402.00798,2402.01030,2402.01135,2402.01469,2402.01521,2402.01586,2402.03610,2402.03719,2402.04253,2402.05930,2402.08392,2402.09205,2402.10051,2402.10178,2402.10670,2402.10890,2402.11163,2402.11359,2402.11451,2402.11489,2402.11534,2402.11550,2402.11941,2402.12212,2402.12234,2402.12275,2402.12914,2402.13212,2402.13547,2402.14320,2402.14658,2402.14672,2402.14851,2402.14891,2402.15057,2402.15809,2402.16823,2402.17505,2402.17531,2402.19446,2403.00810,2403.00820,2403.01248,2403.02502,2403.03031,2403.03101,2403.03141,2403.03481,2403.04123,2403.04746,2403.04783,2403.06221,2403.07376,2403.08140,2403.08978,2403.11381,2403.11886,2403.11905,2403.13002,2403.14403,2403.14443,2403.14589,2403.15371,2403.16854,2403.17246,2403.17359,2403.19962,2404.00246,2404.01342,2404.01744,2404.02183,2404.03648,2404.04735,2404.05569,2404.05902,2404.07103,2404.07439,2404.07677,2404.07738,2404.09127,2404.09248,2404.09339,2404.10887,2404.13050,2404.14394,2404.15923,2404.17525,2404.18130,2404.18243,2404.18638,2404.19705,2405.00273,2405.01359,2405.04118,2405.04219,2405.05955,2405.06691,2405.08888,2405.10292,2405.11403,2405.12035,2405.12147,2405.13009,2405.13028,2405.13034,2405.14205,2405.14314,2405.15793,2405.16205,2405.16247,2405.16510,2405.16533,2405.17402,2405.17441,2405.18358,2405.19425,2405.19487,2405.20252,2405.20309,2405.20770,2406.00033,2406.01014,2406.01422,2406.02818,2406.03008,2406.03075,2406.04151,2406.04712,2406.06799,2406.07054,2406.07080,2406.07115,2406.07155,2406.08979,2406.10803,2406.10958,2406.11176,2406.11317,2406.11514,2406.11555,2406.11776,2406.12125,2406.12276,2406.13163,2406.13381,2406.13840,2406.14550,2406.14928,2406.16714,2406.16903,2406.17231,2406.18082,2406.18532,2406.19228,2407.00476,2407.01476,2407.01887,2407.03884,2407.05674,2407.05890,2407.07061,2407.09886,2407.09893,2407.10718,2407.11384,2407.12821,2407.12871,2407.14402,2407.14414,2407.15073,2407.16521,2407.16667,2407.16741,2407.17695,2407.18035,2407.21024,2407.21040,2408.00203,2408.01380,2408.01779,2408.03615,2408.03631,2408.03910,2408.06458,2408.06520,2408.06849,2408.07060,2408.08054,2408.08926,2408.09559,2408.09785,2408.11021,2408.11058,2408.14033,2408.14307,2408.15512,2409.00135,2409.00557,2409.00608,2409.00985,2409.01392,2409.03256,2409.05556,2409.06205,2409.07429,2409.08406,2409.11411,2409.12147,2409.12294,2409.12411,2409.12618,2409.13449,2409.13753,2409.15364,2409.15594,2409.16120,2409.16686,2409.18345,2409.19471,2410.01215,2410.01242,2410.02089,2410.02810,2410.02958,2410.03439,2410.04452,2410.06153,2410.07677,2410.07706,2410.08115,2410.08164,2410.08328,2410.08475,2410.09407,2410.09824,2410.10270,2410.11507,2410.12848,2410.13232,2410.13757,2410.13825,2410.14251,2410.14594,2410.14627,2410.15281,2410.15625,2410.16919,2410.17236,2410.17238,2410.17462,2410.18963,2410.19727,2410.19811,2410.20007,2410.20666,2410.20753,2410.21067,2410.21784,2410.21909,2410.22457,2410.22552,2410.22916,2410.22932,2410.24032,2411.00427,2411.01114,2411.01643,2411.01747,2411.02223,2411.02337,2411.02599,2411.02937,2411.03397,2411.03817,2411.04329,2411.04535,2411.07464,2411.08432,2411.10753,2411.11496,2411.13451,2411.14484,2411.14485,2411.14497,2411.15004,2411.16707,2411.19443,2411.19539,2411.19547,2412.00652,2412.01752,2412.02205,2412.03801,2412.04141,2412.05449,2412.06162,2412.06412,2412.06724,2412.09429,2412.09596,2412.09605,2412.10422,2412.10434,2412.10742,2412.12898,2412.15701,2412.16682,2412.17061,2412.17149,2412.18072,2412.18428,2412.20145,2412.20735,2412.21139,2501.00332,2501.00430,2501.00830,2501.01205,2501.01702,2501.02342,2501.02348,2501.04575,2501.05255,2501.05478,2501.06193,2501.07572,2501.07813,2501.08406,2501.11107,2501.11613,2501.12909,2501.13896,2501.13946,2501.14082,2501.14731,2501.16327,2501.18816,2501.18922,2502.00406,2502.01344,2502.01390,2502.02533,2502.02534,2502.03283,2502.04180,2502.04306,2502.04392,2502.04485,2502.04644,2502.04790,2502.05036,2502.05439,2502.05664,2502.06205,2502.07128,2502.07165,2502.07373,2502.07487,2502.08820,2502.10857,2502.10996,2502.11140,2502.11271,2502.11404,2502.11705,2502.11799,2502.11882,2502.12767,2502.12929,2502.13025,2502.13298,2502.13310,2502.13428,2502.13957,2502.14145,2502.14276,2502.14496,2502.14499,2502.14693,2502.14848,2502.15359,2502.15690,2502.15920,2502.15964,2502.16565,2502.17543,2502.17651,2502.17924,2502.18407,2502.18471,2502.18873,2502.20301,2502.20689,2502.21087,2503.01490,2503.01829,2503.01940,2503.02197,2503.02519,2503.02682,2503.03686,2503.03800,2503.04787,2503.04875,2503.05592,2503.05641,2503.07044,2503.08162,2503.09089,2503.09501,2503.09572,2503.10689,2503.13514,2503.13553,2503.14269,2503.15552,2503.16024,2503.16814,2503.16874,2503.18102,2503.18492,2503.18494,2503.18666,2503.18891,2503.19271,2503.20201,2503.20279,2503.20791,2503.20978,2503.21683,2503.21760,2503.22122,2503.22473,2503.22708,2503.23314,2504.00255,2504.00587,2504.02051,2504.02128,2504.02670,2504.02965,2504.03160,2504.03174,2504.05527,2504.06260,2504.06271,2504.07421,2504.07643,2504.08066,2504.08525,2504.09602,2504.09781,2504.10036,2504.10055,2504.10127,2504.10458,2504.11243,2504.11536,2504.11788,2504.12322,2504.12330,2504.12477,2504.12734,2504.14239,2504.14597,2504.16073"
"Provide advice on proper standards and regulations or the development of policies, strategies, or codes of practice for environmental management.","Environmental Scientists and Specialists, Including Health",57,"2304.00116,2304.05332,2305.16653,2306.07209,2310.00280,2310.13549,2311.10537,2312.04889,2401.17244,2402.01698,2402.01788,2402.04411,2402.10178,2402.11451,2403.04382,2403.19839,2404.07738,2404.13050,2405.14205,2406.10958,2406.17987,2407.17695,2407.21024,2409.05556,2409.13740,2410.02551,2410.08475,2410.09403,2410.09631,2410.14152,2410.17462,2410.18792,2411.05762,2411.08432,2411.11910,2412.15701,2412.17339,2412.20005,2412.21154,2501.00224,2501.00430,2501.02031,2501.04227,2502.02067,2502.09858,2503.00566,2503.17753,2503.22708,2504.05104,2504.05527,2504.07421,2504.07643,2504.08066,2504.09602,2504.10036,2504.16728,2504.17200"
"Provide advice on transportation options, types of carriers, or shipping routes.",Customs Brokers,15,"2402.11489,2402.12914,2402.14744,2405.18208,2405.20347,2407.11384,2409.09040,2410.09252,2411.14484,2412.05449,2412.14161,2412.15274,2502.15359,2503.09572,2504.08694"
"Provide analytical support for policy briefs related to renewable energy, energy efficiency, or climate change.",Climate Change Policy Analysts,39,"2304.00116,2305.17390,2307.07697,2310.10467,2312.07559,2312.13876,2401.05507,2402.01698,2402.07401,2402.10178,2402.11451,2402.12914,2405.14205,2405.19425,2406.17987,2407.01231,2407.09893,2408.09559,2408.12036,2408.15512,2409.00135,2409.14913,2409.16686,2410.10270,2410.17462,2410.24032,2412.14161,2501.00224,2501.02031,2502.07373,2502.14767,2503.00566,2503.09572,2503.13524,2503.23314,2504.05104,2504.09781,2504.14597,2504.17200"
Provide application or analytical support to researchers or traders on issues such as valuations or data.,Financial Quantitative Analysts,116,"2302.04761,2303.17491,2304.00116,2304.04370,2305.15064,2305.19308,2306.07209,2307.07697,2308.02151,2308.05361,2310.00280,2310.10686,2311.05657,2311.08803,2311.09721,2312.08926,2312.12009,2312.13876,2401.05507,2401.05799,2401.12178,2401.16788,2401.17464,2402.02643,2402.03659,2402.11451,2402.11453,2402.15813,2402.17879,2403.00820,2403.14443,2403.19962,2404.01744,2404.09248,2405.04118,2405.16533,2406.11317,2406.12125,2406.17231,2406.17987,2406.19966,2407.01231,2407.06567,2407.09893,2407.10718,2407.12871,2407.15073,2407.17695,2407.21040,2408.01380,2408.06849,2408.12036,2408.14033,2409.05556,2409.12411,2409.14913,2410.00031,2410.00354,2410.01039,2410.02810,2410.08328,2410.09403,2410.10270,2410.14152,2410.14594,2410.17238,2410.17462,2410.19727,2410.20007,2410.21741,2411.00927,2411.01747,2411.05990,2411.11910,2411.18915,2411.19443,2412.01752,2412.02205,2412.10425,2412.20145,2501.02348,2501.08406,2501.12399,2501.16607,2502.00415,2502.02067,2502.04306,2502.04392,2502.04644,2502.05036,2502.05439,2502.11799,2502.12929,2502.13127,2502.14276,2502.14499,2502.14848,2502.17967,2502.18228,2502.18471,2502.18873,2503.05592,2503.05641,2503.07044,2503.11664,2503.18494,2503.23314,2504.02670,2504.05104,2504.05862,2504.06271,2504.07421,2504.08525,2504.10036,2504.14597,2504.16918"
Provide assistance in administering employee benefit programs and worker's compensation plans.,"Human Resources Assistants, Except Payroll and Timekeeping",19,"2306.03460,2309.08949,2311.00416,2312.06677,2401.08315,2405.18113,2406.12639,2410.11239,2410.21784,2411.00927,2411.15004,2412.14161,2412.15701,2412.16943,2502.01390,2503.14484,2503.20791,2503.22473,2504.02870"
